"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_049610",23,4,16,16,8,18,2,34
"Smp_050110",4,0,0,2,5,6,0,3
"Smp_050220",2,0,0,10,0,2,0,2
"Smp_050360",1,0,4,2,7,6,0,9
"Smp_050380",0,1,1,0,2,7,0,0
"Smp_050830",0,0,0,2,2,2,0,6
"Smp_050920",2,0,0,2,2,4,0,4
"Smp_050940",2,0,4,4,0,8,2,6
"Smp_051210",10,0,2,0,6,8,1,8
"Smp_051230",6,2,2,0,4,22,0,8
"Smp_051260",14,2,2,8,8,12,0,18
"Smp_051300",0,2,1,0,2,2,4,3
"Smp_051670",7,0,0,1,0,2,0,4
"Smp_052060",0,2,0,2,2,4,0,0
"Smp_052640",6,1,1,5,3,1,2,0
"Smp_052910",6,2,2,2,0,6,0,2
"Smp_053130",8,0,2,2,4,12,0,2
"Smp_053220",2,0,0,4,0,4,0,2
"Smp_053230",4,2,4,6,0,6,0,8
"Smp_053390",0,0,2,2,2,4,0,4
"Smp_053610",6,0,4,8,2,2,0,2
"Smp_053820",4,0,0,0,0,4,2,2
"Smp_053830",6,0,0,2,6,12,0,2
"Smp_053940",6,2,2,10,11,9,0,18
"Smp_054120",2,1,2,8,2,0,0,2
"Smp_054240",8,0,6,2,6,22,0,2
"Smp_054320",86,28,53,83,38,116,10,94
"Smp_054340",12,2,6,2,0,4,0,8
"Smp_054540",2,2,0,0,2,0,0,6
"Smp_054560",2,2,0,2,0,3,0,2
"Smp_054790",9,2,3,3,2,4,3,6
"Smp_054800",10,6,13,6,4,9,5,12
"Smp_055050",6,0,2,0,4,4,0,4
"Smp_055200",18,9,9,17,9,22,2,20
"Smp_055340",0,0,0,2,2,4,2,0
"Smp_055440",6,2,0,0,1,0,0,4
"Smp_055720",2,2,0,6,6,2,0,2
"Smp_055800",12,6,12,10,2,2,2,2
"Smp_055880",2,0,4,6,2,12,0,2
"Smp_055960",4,0,0,8,6,6,4,2
"Smp_055990",0,0,2,10,2,4,0,4
"Smp_056360",14,2,6,10,6,6,2,6
"Smp_056440",4,0,0,2,2,0,0,2
"Smp_056460",13,6,3,6,8,29,2,18
"Smp_056500",4,0,0,2,2,6,0,2
"Smp_056760",2,0,0,2,2,8,0,4
"Smp_056970",8,4,8,8,14,22,0,6
"Smp_058150",0,2,2,4,0,2,0,0
"Smp_058170",4,0,4,4,4,6,2,2
"Smp_058270",1,0,0,2,0,4,0,4
"Smp_058450",16,7,6,2,0,13,2,6
"Smp_058690",11,0,4,8,6,19,0,8
"Smp_059210",0,0,2,2,0,2,0,4
"Smp_059340",6,0,0,4,0,2,2,1
"Smp_059350",2,0,0,2,4,0,0,2
"Smp_059540",2,0,0,2,4,0,0,2
"Smp_059600",2,3,0,2,0,0,0,6
"Smp_059780",1,0,0,4,1,4,0,4
"Smp_059790",1,0,4,2,3,2,0,2
"Smp_060090",6,2,2,4,2,0,0,2
"Smp_060190",0,2,2,2,4,4,2,2
"Smp_060420",0,2,0,6,2,2,0,9
"Smp_060910",0,2,0,0,2,10,0,4
"Smp_061200",10,2,7,8,6,10,0,10
"Smp_061480",4,2,0,4,3,2,0,4
"Smp_061580",2,2,0,4,2,6,0,4
"Smp_061590",1,2,0,2,3,2,0,1
"Smp_061840",12,1,2,4,0,2,0,1
"Smp_061920",4,0,2,4,2,4,0,2
"Smp_061940",14,0,4,2,0,10,0,10
"Smp_062270",21,6,16,18,7,6,0,19
"Smp_062300",0,2,0,1,2,5,0,3
"Smp_062420",4,0,2,4,2,2,0,8
"Smp_062630",6,0,4,0,0,4,0,2
"Smp_062900",6,0,0,0,2,1,0,6
"Smp_063070",7,0,8,4,4,0,1,5
"Smp_063350",0,0,4,8,0,6,0,4
"Smp_063390",0,1,0,6,2,2,0,0
"Smp_063420",4,0,0,10,6,4,2,0
"Smp_064040",3,1,1,1,0,2,0,8
"Smp_064360",6,5,4,6,0,0,0,3
"Smp_064500",0,2,2,2,2,6,0,2
"Smp_064510",0,0,2,0,0,4,2,2
"Smp_064590",0,0,0,2,2,4,2,4
"Smp_064860",2,2,0,0,4,2,0,2
"Smp_064870",2,2,2,1,0,1,0,2
"Smp_065580",2,0,2,4,2,4,0,6
"Smp_065840",2,0,0,2,0,4,0,4
"Smp_066200",2,2,4,2,1,3,0,2
"Smp_066410",8,2,0,0,2,1,0,0
"Smp_066610",8,1,2,3,0,0,0,3
"Smp_066740",6,5,5,5,2,7,0,7
"Smp_066760",8,2,2,8,12,0,0,12
"Smp_066830",2,0,2,0,2,0,2,2
"Smp_066890",2,0,2,2,0,2,0,4
"Smp_066970",2,2,0,4,0,2,2,4
"Smp_066990",6,0,0,2,0,4,0,2
"Smp_067000",0,0,2,2,4,0,0,4
"Smp_067400",0,0,0,2,2,4,2,2
"Smp_067490",2,0,0,3,3,4,0,4
