gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Smp_183710,15.153274273211176,0.70598077171924,0.5175729542871689,1.364021759389567,0.17256071743306967,0.9980972876233909
Smp_185680,6.326963027508806,0.517041714036078,0.7162790991015319,0.7218439218520152,0.470390442165588,0.9980972876233909
Smp_186670,1.5292759510190852,-0.4728550461096047,1.2604246271151587,-0.3751553531541734,0.7075449322969611,0.9980972876233909
Smp_187190,2.611548147236747,-0.9709325876407637,1.033238343508571,-0.9396985639767922,0.34737220195678264,0.9980972876233909
Smp_191400,8.374588842948413,-0.35108808140680037,0.6272108789065717,-0.5597608287963033,0.5756425852854771,0.9980972876233909
Smp_191670,0.9929877209542793,0.799910084234027,1.5501957037763838,0.5160058709267422,0.6058503087898299,0.9980972876233909
Smp_193800,8.570855282213689,-0.4463062749968249,0.6059999814172103,-0.7364790242288114,0.46143922824740613,0.9980972876233909
Smp_194130,2.8271942797714704,-0.27520552599680925,1.025642715229014,-0.26832494582224875,0.7884492060487258,0.9980972876233909
Smp_194160,2.418606819156604,1.6506738288978304,1.1748863255946014,1.4049647127031089,0.16003177164568905,0.9980972876233909
Smp_194420,0.8789252543081499,1.1713175428638845,1.6827281102765599,0.6960824720943041,0.48637718275736863,0.9980972876233909
Smp_196020,1.5661888081626876,0.11149596675850128,1.3229083139300395,0.08428094795721242,0.9328330598283765,0.9980972876233909
Smp_196090,1.093924221320616,-2.4610128342244733,1.6577263463722467,-1.4845712258902872,0.13765744242296368,0.9980972876233909
Smp_196510,1.1292396549633381,-0.3756316843740752,1.4750296176265374,-0.25466043521112625,0.7989853770156365,0.9980972876233909
Smp_196700,1.317027288125364,-0.3809818941106303,1.297242493383432,-0.29368595004698306,0.7689978913557793,0.9980972876233909
Smp_197180,1.618323421818726,0.5526350012626959,1.3009040754373895,0.4248084172362126,0.6709763411449539,0.9980972876233909
Smp_197390,1.5169643306080893,-1.5516638654321142,1.3667491897916477,-1.135295251697684,0.25625163105502796,0.9980972876233909
Smp_197690,3.605865546117381,-0.34169138243469627,1.0176178571072088,-0.33577573354110096,0.737039990647892,0.9980972876233909
Smp_198360,1.2941127527283811,-0.4046149218673815,1.5668579364650406,-0.25823331678698697,0.7962268465866715,0.9980972876233909
Smp_198380,2.627010098929181,1.0280459807143547,1.0255440079223546,1.002439654244647,0.3161312982398398,0.9980972876233909
Smp_198520,1.649082803479936,-1.9073737127595483,1.538031725023171,-1.2401393818653599,0.21492384479780627,0.9980972876233909
Smp_200180,0.9191099547931908,-1.0822506140583976,1.7268551183099912,-0.6267176687744112,0.5308443198634591,0.9980972876233909
Smp_200240,1.796744272398128,0.25620074090175987,1.228462279353893,0.2085540152169003,0.834796411641099,0.9980972876233909
