#Position (bp)	insert size
2.284928265E8	3548.4533483822424
2.294713825E8	1505.6418050583886
2.304499385E8	4731.580147316731
2.314284945E8	3818.279839633448
2.324070505E8	1616.5771495877502
2.333856065E8	2779.882777619455
2.343641625E8	5260.721354166667
2.353427185E8	1747.1549903234725
2.363212745E8	3023.4556077581015
2.372998305E8	1070.6692820512822
2.382783865E8	2099.7702190395958
2.392569425E8	2175.3261585211444
2.402354985E8	1803.4838216560508
2.412140545E8	2394.0528603892894
2.421926105E8	2086.1431342385126
2.431711665E8	30933.063757758133
2.441497225E8	2353.954490044697
2.451282785E8	1940.3365622888039
2.461068345E8	1296.6892243047494
2.470853905E8	1292.1695991001848
2.480639465E8	2340.042321338064
2.490425025E8	2404.515261044177
2.500210585E8	3243.2394874781594
2.509996145E8	1488.631358752496
2.519781705E8	2487.5754881958615
2.529567265E8	2887.2825130602146
2.539352825E8	2566.8429728442115
2.549138385E8	6572.468242665907
2.558923945E8	2127.847335203366
2.568709505E8	2988.8069666182873
2.578495065E8	2343.1104157353598
2.588280625E8	2651.765219728531
2.598066185E8	1394.0489062602642
2.607851745E8	1136.0380445607946
2.617637305E8	2685.844602413622
2.627422865E8	1683.268653730746
2.637208425E8	2000.038596491228
2.646993985E8	3064.397301819703
2.656779545E8	2098.590735556121
2.666565105E8	3901.0441898527006
2.676350665E8	10895.414613602863
2.686136225E8	2600.7988789020974
2.695921785E8	1459.6588796680498
2.70511608E8	2983.3337495197848
2.71000886E8	19520.096153846152
2.715492905E8	21887.511566651396
2.725278465E8	62236.073306182894
2.735064025E8	7958.390682605295
2.744849585E8	1776.4390706105298
2.754635145E8	5881.130588443188
2.764420705E8	11621.399152308117
2.774206265E8	1384.5781174963984
2.783991825E8	2768.1148669317836
2.793777385E8	1451.043795620438
2.803562945E8	1497.6013879087272
2.813348505E8	1767.3410752688171
2.823134065E8	3240.8418129702613
2.832919625E8	1099.776170761869
2.842705185E8	2644.837147641641
2.852490745E8	3636.1043346007605
2.862276305E8	2532.521489971347
