#Insert size (bp)	insert size
1269.0	466.0
1270.0	457.0
1271.0	476.0
1272.0	398.0
1273.0	422.0
1274.0	492.0
1275.0	457.0
1276.0	419.0
1277.0	414.0
1278.0	499.0
1279.0	487.0
1280.0	443.0
1281.0	439.0
1282.0	448.0
1283.0	490.0
1284.0	429.0
1285.0	363.0
1286.0	413.0
1287.0	400.0
1288.0	385.0
1289.0	378.0
1290.0	455.0
1291.0	446.0
1292.0	439.0
1293.0	406.0
1294.0	404.0
1295.0	440.0
1296.0	395.0
1297.0	452.0
1298.0	435.0
1299.0	487.0
1300.0	454.0
1301.0	461.0
1302.0	484.0
1303.0	439.0
1304.0	433.0
1305.0	427.0
1306.0	423.0
1307.0	440.0
1308.0	463.0
1309.0	378.0
1310.0	420.0
1311.0	455.0
1312.0	382.0
1313.0	389.0
1314.0	390.0
1315.0	372.0
1316.0	361.0
1317.0	376.0
1318.0	404.0
1319.0	419.0
1320.0	430.0
1321.0	409.0
1322.0	436.0
1323.0	403.0
1324.0	444.0
1325.0	370.0
1326.0	397.0
1327.0	392.0
1328.0	383.0
1329.0	413.0
1330.0	438.0
1331.0	474.0
1332.0	438.0
1333.0	410.0
1334.0	431.0
1335.0	458.0
1336.0	426.0
1337.0	406.0
1338.0	415.0
1339.0	397.0
1340.0	416.0
1341.0	360.0
1342.0	391.0
1343.0	389.0
1344.0	394.0
1345.0	376.0
1346.0	412.0
1347.0	417.0
1348.0	391.0
1349.0	447.0
1350.0	427.0
1351.0	441.0
1352.0	414.0
1353.0	414.0
1354.0	416.0
1355.0	373.0
1356.0	419.0
1357.0	420.0
1358.0	400.0
1359.0	404.0
1360.0	375.0
1361.0	394.0
1362.0	414.0
1363.0	437.0
1364.0	414.0
1365.0	381.0
1366.0	414.0
1367.0	395.0
1368.0	429.0
1369.0	404.0
1370.0	401.0
1371.0	412.0
1372.0	423.0
1373.0	456.0
1374.0	376.0
1375.0	410.0
1376.0	442.0
1377.0	437.0
1378.0	423.0
1379.0	447.0
1380.0	442.0
1381.0	407.0
1382.0	438.0
1383.0	420.0
1384.0	409.0
1385.0	459.0
1386.0	438.0
1387.0	411.0
1388.0	433.0
1389.0	402.0
1390.0	431.0
1391.0	462.0
1392.0	420.0
1393.0	437.0
1394.0	389.0
1395.0	415.0
1396.0	385.0
1397.0	482.0
1398.0	456.0
1399.0	431.0
1400.0	393.0
1401.0	389.0
1402.0	462.0
1403.0	461.0
1404.0	428.0
1405.0	432.0
1406.0	432.0
1407.0	421.0
1408.0	446.0
1409.0	392.0
1410.0	364.0
1411.0	416.0
1412.0	402.0
1413.0	429.0
1414.0	438.0
1415.0	392.0
1416.0	429.0
1417.0	403.0
1418.0	412.0
1419.0	379.0
1420.0	390.0
1421.0	387.0
1422.0	410.0
1423.0	415.0
1424.0	402.0
1425.0	397.0
1426.0	384.0
1427.0	412.0
1428.0	436.0
1429.0	415.0
1430.0	396.0
1431.0	429.0
1432.0	420.0
1433.0	369.0
1434.0	401.0
1435.0	424.0
1436.0	400.0
1437.0	428.0
1438.0	417.0
1439.0	378.0
1440.0	408.0
1441.0	401.0
1442.0	460.0
1443.0	431.0
1444.0	385.0
1445.0	410.0
1446.0	435.0
1447.0	446.0
1448.0	368.0
1449.0	431.0
1450.0	424.0
1451.0	398.0
1452.0	376.0
1453.0	341.0
1454.0	428.0
1455.0	375.0
1456.0	385.0
1457.0	393.0
1458.0	402.0
1459.0	400.0
1460.0	407.0
1461.0	478.0
1462.0	430.0
1463.0	395.0
1464.0	450.0
1465.0	398.0
1466.0	415.0
1467.0	445.0
1468.0	420.0
1469.0	426.0
1470.0	397.0
1471.0	405.0
1472.0	418.0
1473.0	434.0
1474.0	435.0
1475.0	461.0
1476.0	425.0
1477.0	375.0
1478.0	438.0
1479.0	448.0
1480.0	408.0
1481.0	416.0
1482.0	398.0
1483.0	381.0
1484.0	401.0
1485.0	400.0
1486.0	421.0
1487.0	395.0
1488.0	357.0
1489.0	439.0
1490.0	389.0
1491.0	437.0
1492.0	412.0
1493.0	382.0
1494.0	414.0
1495.0	412.0
1496.0	456.0
1497.0	417.0
1498.0	369.0
1499.0	434.0
1500.0	434.0
1501.0	432.0
1502.0	402.0
1503.0	439.0
1504.0	402.0
1505.0	394.0
1506.0	398.0
1507.0	419.0
1508.0	390.0
1509.0	396.0
1510.0	409.0
1511.0	388.0
1512.0	411.0
1513.0	413.0
1514.0	409.0
1515.0	373.0
1516.0	399.0
1517.0	353.0
1518.0	398.0
1519.0	358.0
1520.0	420.0
1521.0	382.0
1522.0	416.0
1523.0	351.0
1524.0	376.0
1525.0	438.0
1526.0	422.0
1527.0	393.0
1528.0	408.0
1529.0	365.0
1530.0	439.0
1531.0	390.0
1532.0	419.0
1533.0	418.0
1534.0	447.0
1535.0	412.0
1536.0	416.0
1537.0	435.0
1538.0	400.0
1539.0	423.0
1540.0	409.0
1541.0	416.0
1542.0	448.0
1543.0	387.0
1544.0	366.0
1545.0	418.0
1546.0	403.0
1547.0	446.0
1548.0	371.0
1549.0	417.0
1550.0	445.0
1551.0	426.0
1552.0	409.0
1553.0	391.0
1554.0	449.0
1555.0	427.0
1556.0	375.0
1557.0	407.0
1558.0	454.0
1559.0	410.0
1560.0	406.0
1561.0	405.0
1562.0	426.0
1563.0	384.0
1564.0	412.0
1565.0	421.0
1566.0	397.0
1567.0	401.0
1568.0	377.0
1569.0	432.0
1570.0	408.0
1571.0	415.0
1572.0	426.0
1573.0	438.0
1574.0	390.0
1575.0	406.0
1576.0	425.0
1577.0	426.0
1578.0	446.0
1579.0	430.0
1580.0	401.0
1581.0	424.0
1582.0	398.0
1583.0	390.0
1584.0	426.0
1585.0	429.0
1586.0	404.0
1587.0	435.0
1588.0	355.0
1589.0	412.0
1590.0	389.0
1591.0	430.0
1592.0	432.0
1593.0	440.0
1594.0	369.0
1595.0	382.0
1596.0	404.0
1597.0	442.0
1598.0	408.0
1599.0	399.0
1600.0	415.0
1601.0	370.0
1602.0	392.0
1603.0	447.0
1604.0	408.0
1605.0	411.0
1606.0	433.0
1607.0	395.0
1608.0	447.0
1609.0	412.0
1610.0	381.0
1611.0	370.0
1612.0	417.0
1613.0	445.0
1614.0	403.0
1615.0	382.0
1616.0	439.0
1617.0	396.0
1618.0	421.0
1619.0	366.0
1620.0	440.0
1621.0	404.0
1622.0	363.0
1623.0	407.0
1624.0	381.0
1625.0	384.0
1626.0	401.0
1627.0	380.0
1628.0	367.0
1629.0	392.0
1630.0	395.0
1631.0	383.0
1632.0	379.0
1633.0	329.0
1634.0	396.0
