"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_012570",2.22855452394533,1.32332214395358,1.32332214395358,2.01858193803416,2.75948036268294,2.03697971534494,1.32332214395358,2.66605639811747
"Smp_012690",1.96857861100887,2.40461259395402,2.19237669628453,2.67711666958055,2.75948036268294,1.32332214395358,2.87817862181181,2.66605639811747
"Smp_012720",2.84548596773908,1.32332214395358,2.99306309508435,1.32332214395358,1.32332214395358,2.03697971534494,1.32332214395358,2.0126097154199
"Smp_012740",2.84548596773908,2.82045453237948,2.19237669628453,2.67711666958055,3.48194627741433,2.71110580789971,1.32332214395358,2.0126097154199
"Smp_012750",3.15064561509589,1.32332214395358,2.99306309508435,2.67711666958055,1.32332214395358,2.71110580789971,1.32332214395358,2.66605639811747
"Smp_012860",1.32332214395358,1.32332214395358,1.32332214395358,2.29749697177249,2.75948036268294,3.22238683125624,1.32332214395358,2.8123412652609
"Smp_012930",2.22855452394533,1.32332214395358,1.32332214395358,2.29749697177249,2.75948036268294,1.32332214395358,1.32332214395358,2.66605639811747
"Smp_013200",2.58411291871707,2.82045453237948,1.32332214395358,3.36783386666629,3.28468657367714,3.86532160476451,1.32332214395358,3.16408874501742
"Smp_013210",1.32332214395358,1.32332214395358,2.19237669628453,1.32332214395358,2.3589153606473,3.11367744068324,1.32332214395358,2.28927573067397
"Smp_013370",3.46664900454734,3.12161614199468,2.787746359141,2.67711666958055,2.3589153606473,3.5015825296182,2.87817862181181,3.05800078528165
"Smp_013470",3.05735342553861,3.36276872371599,2.99306309508435,3.36783386666629,1.32332214395358,3.98719565868473,1.32332214395358,3.51649287474778
"Smp_013790",2.84548596773908,2.82045453237948,1.32332214395358,1.32332214395358,3.28468657367714,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_013840",1.32332214395358,1.32332214395358,2.53508239324987,1.32332214395358,3.28468657367714,3.22238683125624,1.32332214395358,2.66605639811747
"Smp_013930",3.8314328656008,4.89877848512759,4.9976510161352,4.49196617564279,4.28440275222136,3.65914589525087,3.4362340023329,4.02355615376921
"Smp_014290",1.32332214395358,1.32332214395358,2.99306309508435,2.29749697177249,2.75948036268294,2.32280028561463,1.32332214395358,2.94163939369821
"Smp_015050",1.32332214395358,1.32332214395358,2.53508239324987,2.67711666958055,1.32332214395358,2.32280028561463,3.4362340023329,2.28927573067397
"Smp_015090",2.58411291871707,1.32332214395358,1.32332214395358,3.17842682054704,3.05072884882398,2.99431447354255,1.32332214395358,2.94163939369821
"Smp_015530",1.32332214395358,1.32332214395358,1.32332214395358,3.17842682054704,3.28468657367714,2.99431447354255,1.32332214395358,3.66229053962933
"Smp_015690",2.84548596773908,3.36276872371599,2.99306309508435,3.17842682054704,1.32332214395358,2.86152778471089,3.4362340023329,4.61728747069816
"Smp_015860",1.96857861100887,1.32332214395358,2.99306309508435,2.01858193803416,2.75948036268294,2.32280028561463,1.32332214395358,1.32332214395358
"Smp_016050",2.58411291871707,1.32332214395358,2.99306309508435,2.29749697177249,2.75948036268294,1.32332214395358,1.32332214395358,2.28927573067397
"Smp_016730",4.16094566493953,4.16269369850287,2.787746359141,4.37156014878919,4.06543157219313,4.25167303599386,3.4362340023329,2.94163939369821
"Smp_016900",1.32332214395358,1.32332214395358,1.32332214395358,2.29749697177249,3.28468657367714,2.32280028561463,1.32332214395358,2.28927573067397
"Smp_017010",3.39468035643868,2.82045453237948,1.32332214395358,2.95458419551322,3.28468657367714,2.71110580789971,1.32332214395358,2.28927573067397
"Smp_017070",1.32332214395358,2.82045453237948,1.32332214395358,2.50585165654037,1.32332214395358,2.32280028561463,1.32332214395358,2.66605639811747
"Smp_017280",3.77713134623986,1.32332214395358,3.58114171538273,3.36783386666629,4.38220290237645,3.41508780103205,1.32332214395358,3.35240757889516
"Smp_017360",2.84548596773908,1.32332214395358,3.32094489093741,2.29749697177249,1.32332214395358,2.32280028561463,1.32332214395358,2.94163939369821
"Smp_017430",3.23735642667166,3.36276872371599,1.32332214395358,2.29749697177249,2.75948036268294,2.71110580789971,1.32332214395358,3.79370539176909
"Smp_017660",2.22855452394533,2.82045453237948,1.32332214395358,2.95458419551322,2.75948036268294,2.03697971534494,1.32332214395358,2.66605639811747
"Smp_017710",1.32332214395358,1.32332214395358,1.32332214395358,2.67711666958055,2.75948036268294,2.32280028561463,3.4362340023329,2.28927573067397
"Smp_017730",2.22855452394533,2.82045453237948,2.53508239324987,1.32332214395358,1.32332214395358,1.32332214395358,1.32332214395358,3.16408874501742
"Smp_018220",2.42343037872152,2.82045453237948,2.53508239324987,1.32332214395358,2.3589153606473,2.32280028561463,1.32332214395358,1.32332214395358
"Smp_018240",3.23735642667166,1.32332214395358,2.53508239324987,2.67711666958055,2.75948036268294,2.99431447354255,1.32332214395358,2.28927573067397
"Smp_018250",2.22855452394533,1.32332214395358,2.53508239324987,2.95458419551322,1.32332214395358,1.32332214395358,1.32332214395358,2.28927573067397
"Smp_018310",2.58411291871707,2.82045453237948,3.32094489093741,1.32332214395358,3.65323019884879,2.99431447354255,1.32332214395358,3.16408874501742
"Smp_018360",1.32332214395358,1.32332214395358,1.32332214395358,1.32332214395358,2.75948036268294,2.71110580789971,3.4362340023329,2.66605639811747
"Smp_018530",3.05735342553861,1.32332214395358,2.99306309508435,2.29749697177249,3.94139344729849,2.99431447354255,1.32332214395358,1.32332214395358
"Smp_019190",1.32332214395358,2.82045453237948,1.32332214395358,1.32332214395358,2.75948036268294,2.71110580789971,1.32332214395358,3.16408874501742
"Smp_019260",3.15064561509589,2.40461259395402,2.19237669628453,2.67711666958055,2.75948036268294,2.32280028561463,3.4362340023329,2.8123412652609
"Smp_019440",2.22855452394533,1.32332214395358,1.32332214395358,2.29749697177249,3.28468657367714,2.71110580789971,1.32332214395358,2.66605639811747
"Smp_019630",2.22855452394533,1.32332214395358,2.53508239324987,2.29749697177249,2.75948036268294,1.32332214395358,1.32332214395358,2.28927573067397
