88812
14831	15058	2555
16627	16996	2783
27277	27518	3153
31543	31953	3395
33515	33573	3806
0	1034	0
3545	3648	1035
5357	5495	1139
7735	8565	1278
9618	10433	2109
14637	14763	2925
21133	21485	3052
30456	31021	3405
37532	37588	3971
38617	38916	4028
41345	41794	4328
43774	44008	4778
45246	45351	5013
46236	46343	5119
47574	48114	5227
53595	53750	5768
53790	53898	5924
54425	54464	6033
54506	54538	6073
54578	54670	6106
54711	54768	6199
0	158	0
575	808	159
1140	1496	393
2664	3129	750
0	5954	0
8692	9959	5955
0	77	0
4162	4214	78
4280	4330	131
4373	4437	182
4495	4548	247
5735	5825	301
9891	10121	392
11959	12006	623
13518	13989	671
0	77	0
19686	19738	78
19804	19854	131
19897	19961	182
22871	22961	247
28002	28462	338
0	135	0
473	525	136
583	633	189
683	747	240
805	858	305
1327	1417	359
2630	2864	450
4702	4745	685
6257	6712	729
0	625	0
7060	7113	626
9885	10075	680
10113	10342	871
10377	10478	1101
0	273	0
312	386	274
2056	2213	349
3071	3209	507
8656	8827	646
11898	12042	818
14324	14603	963
0	283	0
6432	6838	284
8396	8488	691
10443	10523	784
11290	11376	865
12691	12777	952
14276	14362	1039
15993	16079	1126
17473	17559	1213
20329	20415	1300
22647	22733	1387
24629	24715	1474
26196	26282	1561
27412	27498	1648
30209	30295	1735
32220	32306	1822
34225	34311	1909
35693	35779	1996
37998	38084	2083
38948	39100	2170
41506	41596	2323
44372	44565	2414
0	132	0
173	352	133
398	601	313
4894	4998	517
9647	9730	622
14083	14168	706
16804	16894	792
20053	20127	883
21381	21530	958
25486	25614	1108
28661	28943	1237
31070	31271	1520
33298	33398	1722
35183	35548	1823
38759	39132	2189
40817	41065	2563
43070	43228	2812
44886	45035	2971
0	262	0
2446	2827	263
0	465	0
2372	2552	466
3716	3974	647
5738	5934	906
6955	7280	1103
0	2513	0
6623	6992	2514
14795	14975	2884
16929	17090	3065
20221	20325	3227
22366	22418	3332
24360	24844	3385
31368	31997	3870
34222	35086	4500
38562	39906	5365
45325	46294	6710
47340	48635	7680
50618	51423	8976
72164	72726	9782
94609	94715	10345
98909	109511	10452
0	978	0
2252	2342	979
5500	5756	1070
6456	6508	1327
7978	8095	1380
10655	10847	1498
11990	12123	1691
13898	14021	1825
16807	16904	1949
19155	19246	2047
21359	21431	2139
25430	25585	2212
27845	28024	2368
31339	31549	2548
33490	33614	2759
36138	36227	2884
38985	39137	2974
41040	41226	3127
42347	42417	3314
45410	45542	3385
48692	48850	3518
52512	52661	3677
54155	54329	3827
61684	61758	4002
63990	64058	4077
64986	65084	4146
68783	69305	4245
72957	73079	4768
76220	76292	4891
77534	77717	4964
83940	83987	5148
118701	119135	5196
0	978	0
2252	2342	979
5500	5756	1070
6456	6508	1327
7978	8095	1380
10655	10847	1498
11990	12123	1691
13898	14021	1825
16807	16904	1949
19155	19246	2047
21359	21431	2139
25430	25585	2212
27845	28024	2368
31339	31549	2548
33490	33614	2759
36138	36227	2884
38985	39137	2974
41040	41226	3127
42347	42417	3314
45410	45542	3385
48692	48850	3518
52512	52661	3677
54155	54329	3827
57692	57727	4002
61684	61758	4038
63990	64055	4113
64986	65084	4179
68783	69305	4278
72957	73079	4801
76220	76292	4924
77534	77717	4997
83940	83987	5181
118701	119135	5229
0	978	0
2252	2342	979
5500	5756	1070
6456	6508	1327
7978	8095	1380
10655	10847	1498
11990	12123	1691
13898	14021	1825
16807	16904	1949
19155	19246	2047
21359	21431	2139
25430	25585	2212
27845	28024	2368
31339	31549	2548
33490	33614	2759
36138	36227	2884
38985	39137	2974
41040	41226	3127
42347	42417	3314
45410	45542	3385
48692	48850	3518
52512	52661	3677
