10960
Smp_171010.1	6200871	6226529	6194989	2	12	1115	125
Smp_089570.1	6255914	6256405	6226529	2	3	1127	126
Smp_171020.1	6271043	6333286	6256405	1	15	1130	127
Smp_089590.1	6346473	6362070	6333286	1	8	1145	128
Smp_171030.1	6367825	6385769	6362070	2	4	1153	129
Smp_245050.1	6387853	6399644	6385769	1	6	1157	130
Smp_171040.1	6405773	6449900	6399644	1	10	1163	131
Smp_089630.1	6452224	6458699	6449900	2	4	1173	132
Smp_089640.1	6475473	6480777	6458699	1	5	1177	133
Smp_089650.1	6483684	6491920	6480777	2	2	1182	134
Smp_089650.2	6483684	6491920	6491920	2	1	1184	134
Smp_089670.1	6524316	6531069	6491920	2	1	1185	135
Smp_171060.1	6564692	6569399	6531069	2	2	1186	136
Smp_171070.1	6588316	6598819	6569399	2	3	1188	137
Smp_089700.1	6616466	6637702	6598819	1	9	1191	138
Smp_171080.1	6641491	6649028	6637702	1	3	1200	139
Smp_171090.1	6651983	6654062	6649028	2	2	1203	140
Smp_022640.1	6666015	6667752	6654062	2	2	1205	141
Smp_319400.1	6692386	6703806	6667752	1	3	1207	142
Smp_092150.1	6721366	6727502	6703806	1	3	1210	143
Smp_151640.1	6780372	6786804	6727502	2	3	1213	144
Smp_055390.1	6805273	6815802	6786804	2	6	1216	145
Smp_055400.1	6818496	6832607	6815802	1	6	1222	146
Smp_151650.1	6836214	6841622	6832607	2	5	1228	147
Smp_055420.1	6847316	6853880	6841622	1	7	1233	148
Smp_151660.1	6859826	6862053	6853880	1	1	1240	149
Smp_151670.1	6872986	6894302	6862053	1	8	1241	150
Smp_055440.1	6939666	6977448	6894302	1	1	1249	151
Smp_055450.1	6983168	6987252	6977448	2	2	1250	152
Smp_245120.1	7075509	7089762	6987252	1	5	1252	153
Smp_245390.1	7098302	7098850	7089762	2	2	1257	154
Smp_334270.1	7103845	7104393	7098850	1	2	1259	155
Smp_334350.1	7144116	7144664	7104393	1	2	1261	156
Smp_334520.1	7148627	7149175	7144664	1	2	1263	157
Smp_334590.1	7153138	7153686	7149175	1	2	1265	158
Smp_334660.1	7163517	7164064	7153686	2	3	1267	159
Smp_334690.1	7168483	7169031	7164064	1	2	1270	160
Smp_319550.1	7175704	7179061	7169031	2	2	1272	161
Smp_319560.1	7190946	7196388	7179061	1	4	1274	162
Smp_112110.1	7200976	7201524	7196388	2	2	1278	163
Smp_335410.1	7205943	7206513	7201524	1	2	1280	164
Smp_335420.1	7213144	7213692	7206513	2	2	1282	165
Smp_335440.1	7218111	7218659	7213692	1	2	1284	166
Smp_335450.1	7226310	7226858	7218659	2	2	1286	167
Smp_335430.1	7231277	7231825	7226858	1	2	1288	168
Smp_319590.1	7238971	7242011	7231825	2	2	1290	169
Smp_167830.1	7252703	7256543	7242011	1	3	1292	170
Smp_331680.1	7270115	7271843	7256543	1	2	1295	171
Smp_331690.1	7279151	7280782	7271843	2	2	1297	172
Smp_331700.1	7319045	7328048	7280782	1	1	1299	173
Smp_196600.1	7351215	7381755	7328048	1	18	1300	174
Smp_152180.1	7441586	7460518	7381755	2	3	1318	175
Smp_152190.1	7478077	7486734	7460518	2	4	1321	176
Smp_152200.1	7498368	7506515	7486734	1	4	1325	177
Smp_152210.1	7514706	7524624	7506515	2	5	1329	178
Smp_200970.1	7530247	7530417	7524624	1	1	1334	179
Smp_152220.1	7533611	7557294	7530417	2	6	1335	180
Smp_056200.1	7566218	7583723	7557294	1	7	1341	181
Smp_152230.1	7584858	7623304	7583723	2	19	1348	182
Smp_152260.1	7632418	7731013	7623304	1	18	1367	183
Smp_319730.1	7737098	7737764	7731013	1	1	1385	184
Smp_152270.1	7760514	7761568	7737764	1	2	1386	185
Smp_056240.1	7771014	7799005	7761568	2	4	1388	186
Smp_152280.1	7803499	7872453	7799005	1	13	1392	187
